trial,dataset,family,pr(Y=1|S=mc),DP,"t(P(S=1), DP)","t(P(S=1), DP_ground_truth)",I_v(X_to_S)
1,credit_card,mlp_two_layer,0.65,0.22711683,0.006175333,0.023505472,0.087010568
1,credit_card,mlp_three_layer,0.65,0.280939522,0.009453104,0.023505472,0.120621136
1,credit_card,sgd_lr,0.67,0.203545748,0.004959255,0.025811276,0.03644729
1,credit_card,mlp_one_layer,0.67,0.244042015,0.007130918,0.025811276,0.067420611
1,credit_card,mlp_two_layer,0.67,0.246855705,0.007296457,0.025811276,0.068745399
1,credit_card,mlp_three_layer,0.67,0.245250417,0.007201779,0.025811276,0.138059291
1,credit_card,sgd_lr,0.69,0.204688182,0.005015118,0.028811901,0.038278461
1,credit_card,mlp_one_layer,0.69,0.262884641,0.008275838,0.028811901,0.062739348
1,credit_card,mlp_two_layer,0.69,0.252992627,0.007664122,0.028811901,0.144971751
1,credit_card,mlp_three_layer,0.69,0.316111578,0.011972184,0.028811901,0.066347462
1,credit_card,sgd_lr,0.71,0.220199727,0.005804625,0.030394529,0.040128587
1,credit_card,mlp_one_layer,0.71,0.261728843,0.008203149,0.030394529,0.064474535
1,credit_card,mlp_two_layer,0.71,0.302705593,0.010976822,0.030394529,0.131797388
1,credit_card,mlp_three_layer,0.71,0.278213297,0.009270306,0.030394529,0.227213182
1,credit_card,sgd_lr,0.73,0.222798283,0.005942541,0.032766712,0.039297115
1,credit_card,mlp_one_layer,0.73,0.282032594,0.009526899,0.032766712,0.065896186
1,credit_card,mlp_two_layer,0.73,0.315565013,0.011930755,0.032766712,0.116202631
1,credit_card,mlp_three_layer,0.73,0.275852566,0.009113463,0.032766712,0.083170163
1,credit_card,sgd_lr,0.75,0.226488829,0.006141202,0.035306542,0.040249514
1,credit_card,mlp_one_layer,0.75,0.289567859,0.010043456,0.035306542,0.069680877
1,credit_card,mlp_two_layer,0.75,0.284961556,0.009726059,0.035306542,0.150482468
1,credit_card,mlp_three_layer,0.75,0.291270335,0.01016206,0.035306542,0.135988161
1,credit_card,sgd_lr,0.77,0.237182123,0.00673531,0.037732701,0.043306222
1,credit_card,mlp_one_layer,0.77,0.259571986,0.008068362,0.037732701,0.076453124
